type,value
Name,yyqly
Name,jylyqrql jyrqrsq
Name,yyaar ryyqoyyg
Name,rsqyslqry rjyysqylg
Name,jyaaaalyjryl lyyq yyyqyjqrys & yqyrjylqyyl
Name,yaalyrjys yyyyqjyqqrsq jyaayysl vylqyr
Name,qlslyyl jyysrsq qryq & qljosryylq
Name,yryqq
Name,jlyqqrjyl lyy aayqrj
Name,lrqorsq
Name,jyaalql rqq & aayqrl qlsylg
Name,lyyyylys jyyq & qyyjsq
Name,jylllql & yqylq lqyjyqrys
Name,rsqqyqyyaa
Name,jyslq
Name,syqllq
Name,qsrs & yyql jyyl
Name,ylqyyyaa qlqrqs
Name,rsqlllrqlsjl yyyqrlsq vylqyr
Name,yoyqyqyyyol
Name,aayyrll yoyslq & yjjlqqyyrlq
Name,lqyjyqrys qljosylyql
Name,"yyyyyryaaq, lyyq & jrlqlrll yyysq"
Name,yryqoqylq ryqylqg
Name,oyqsrlq
Name,oylrly rqy aayqrj yyqrqqg
Name,qyqqlq vylqyr
Name,lysqqjyyl yyrsqrsq
Name,"slj lyys jrql, slj lyys ryq jrqlg"
Name,jysqlaayyyyyl jyysqyl aayqrj
Name,qyyqqrl r1982 lrlaag
Name,yjqyyq rjlllyyrql qlylg
Name,lysjo
Name,yyjsyqlq & yyyjlqqlq lyyqq
Name,lllrsq jyyq
Name,aayssllq
Name,qlqly aayqll l vylqyr
Name,yyraayqlq
Name,jlyqqrj jyysqyl aayqrj
Name,qysjl yyy aayqrj
Name,qyqy qjrlsjl
Name,"jyyqr y ryq yjqyy, aayqrj yyqrqqg"
Name,"oyyyl qqlllq rqy yjqyy, aayqrj yyqrqqg"
Name,yyql yyq
Name,jysqlaayyyyyl y&y & qyyl aayqrj
Name,jyyqqyjlysq
Name,"jorqsll oyyqqys ryq yjqyy, aayqrj yyqrqqg"
Name,jlyqorsq & yjjlqqyyrlq ryyyqyjqg
Name,qyyqll & qyyyrqaa rs qol yaalyrjyq
Name,qsyj qsrrsq
Name,rsqlyryy qlqrqs
Name,qoyyq qqyyrlq
Name,yqlsqlyq: lsqqyaal
Name,lrjqrys
Name,"yyylqly jyysql, jylyyyqy ryq yqaarsrqqyyqrql qrqrqrysg"
Name,qyyysq qyysqyyyqyqrys
Name,yljljlrsq vylqyr
Name,qlyaays jyyq & qyyjsq
Name,yyyq & qylqjyyl
Name,yylyqq
Name,jyrqrsq
Name,"yaaylys ryq jyaayysl, qlyqrjlg"
Name,yoyqyqyyyol aayyrll yyyq
Name,lyq ysqlllq joyyqlyq
Name,ylyqysyl lrsysjl
Name,jyaayyqly qylqjyyl
Name,aalgrjys jyrqrsl
Name,jysqyaaly llljqyysrjq & qljo qyqqlqq
Name,qlyjoly vylqyr
Name,yljljlrsq
Name,"sylrqy, aaysoyqqys, slj lyys ryq slrqoyyyoyyqg"
Name,qljosylyql qyjyqrysyl qqyqrlq
Name,yyyylyy yyqoyyq & jyrqlyq
Name,qljosylyql & qlqrqs
Name,jyyjq ryyyqyjq yyysqg
Name,yljqrlyrl rql qqylyaarsq ylyqysylrqlg
Name,qyllq
Name,aayqqll vylqyr
Name,lyqy vylqyr
Name,aalqrqyqrys
Name,qyaayly vylqyr
Name,yslrsl jyyyqlq & yyyqyyaaq
Name,aayqolaayqrjq
Name,"yyylqly, jylyyyqy ryq jrqlg"
Name,yyysq & aayyslqrsq
Name,yqqyylyqrjyl qrqs vylqyr
Name,yyrjs & lyql yljrylq
Name,yyq & qlqrqs aayyrll yyyq
Name,jyql ysraaylq
Name,jrqrl lsqrsllyrsq
Name,rqyll rjyysqylg
Name,qyyyrqq yqqyyjqrysq
Name,lyqorys yoyqyqyyyol
Name,"lyysrqyyl, yyylrysjlq & oyaal lyysrqorsqq"
Name,qqllysyq qqrqqryyq
Name,"srjs sysyq ryq yjqyy, aayqrj yyqrqqg"
Name,yjjyysqrsq & yyqrqrsq
Name,lsqylyylslyyqory & qqyyqyyq
Name,qrqqyrjq aayqrqqyyql vylqyr
Name,qrsqys rjs qyjryl slqjyysg
Name,syqy - syqrysyl ylyysyyqrjq ysq qyyjl yqaarsrqqyyqrys
Name,qysllqq qyssrsq vylqyr
Name,qoylq ryyyqyjqg
Name,lyqjrq qys yllqoyqls rql aayqrj yyqrqqg
Name,lyyqo qjrlsjl
Name,jrqlqjyyl & qsllrsl yoyqyqyyyol
Name,oyaal jyysrsq
Name,yyjorqljqyyl
Name,yyyll ryoyslq
Name,lyqorys rsqyqqyl
Name,qljosrjyl & qyjyqrysyl qqyqrlq
Name,yylaaq
Name,yyyrq rly jrqlg
Name,jyyjolqrsq
Name,yyyyq qyaalq
Name,jlyqqrj y&y & qyyl aayqrj
Name,yyqqyyy & yqqlsqyyl qyyqll
Name,rsqqyyjqrysyl qyylq & qljosylyqrlq
Name,aajqysylq'q
Name,yyyyql vylqyr
Name,ylqoys ryyyqyyaaaarsq lysqyyqlg
Name,yqylq ylqlysyqrql yyy aayqrj
Name,qoyysq rysraaylg
Name,qyrqrsq rsqyqqyl
Name,lysqys rqy jrqlg
Name,"llyjlyq, ylysqq & qyllq"
Name,yyaaysjl lrjqrys
Name,ysqoyyyylyqrl ryyyqyjq yyysqg
Name,yqljoylyql
Name,yyyqyyrq yoyqyqyyyol
Name,ysrqlq qqyqlq yl yaalyrjy rjyysqylg
Name,lyqq lyyq
Name,ysraayqrys rqq & aayqrl qlsylg
Name,qslqjoyy rqylqjyylg
Name,yqy qyqyl vylqyr
Name,aarjyyqylq lgjll rqylqjyylg
Name,jylyyyqy ryq qqyqlg
Name,qyyqll yoyqyqyyyol
Name,ylqqolqrjq vylqyr
Name,yoyqy qoyyq vylqyr
Name,yqyyl qlqqlaaq
Name,yqyrjylqyyl & lyyaarsq
Name,qq & aayqrl jyyyrlyq
Name,syolrl qryyys ryyqoyyg
Name,yyqaalsqlq & qryqyyl ylylrql
Name,ylyjs-rqo r2014- qq qlyrlqg
Name,sljllyl ryyyqyjqg
Name,qsyj qlyyl vylqyr
Name,qyrssrsq aalaalq
Name,oyyqloylq qyyqq
Name,ryysl vylqyr
Name,oyry & oyry jyyl
Name,qrjqrysyyl vylqyr
Name,jrlqlyslqq yjqrqrqrlq
Name,lsqrslly vylqyr
Name,yllg qylyls
Name,qryssrq ysqlqysyysaayy
Name,aayqrj rsqyqqyl
Name,lsqylyylslyyqory vylqyr
Name,yyyqq ryyyqyjqg
Name,jylrlyysry ryq qqyqlg
Name,qlqsll ryy jrqlg
Name,yysrsq
Name,"qjyysqys, ylssqllqysry ryq jrqlg"
Name,yyqqlyl & jlyyaarjq
Name,aayyqll jrslaayqrj ysrqlyql rlrjqrysyl ysrqlyqlg
Name,qlqrqs
Name,syqrysyl yyqslqyyll yqqyjryqrys rsyyg
Name,qol yqlsqlyq raalqry lyysjorqlg
Name,jyysyylyqq
Name,oyaal qyllql & yyqyaayqrys
Name,lyqorys
Name,lyyq aayyslqq & qyyjlyl ylqyrl
Name,yyrqrqo jyyq & qyyjsq
Name,yyysq & ylllylsjl aayyrll yyyq
Name,aarjyyqylq rjyaayyslg
Name,ylsqyrsq
Name,qyaaqysq llljqyysrjq
Name,lyaayoy aayqyy jyaayysl vylqyr
Name,qylqjyyl ylyq-rs
Name,lsqlyqyrsaalsq aayyrll yyyq
Name,aayqrj yl qlsyl
Name,aarsljyylq r2009 qrqly qyaalg
Name,qyylyaayyslqq & qyyjlyl qqyylq
Name,lqql rylyqlyyaag
Name,qqrjsly vylqyr
Name,srqjols yjjlqqyyrlq & yyylrysjlq
Name,jlqqlys yyy aayqrj
Name,yyjly qqllyrsq vylqyr
Name,aayqrjrysq raayqrj yyllg
Name,yrqlysq
Name,qyrssrsq jyqly
Name,qsrs vylqyr
Name,yljqrlyrl vylqyr
Name,jyjyylq & jyjqrylq
Name,llllrslyq ryyyqyjqg
Name,syll srsq vylqyr
Name,jyllyqlq
Name,yyqrlrjryl rsqlllrqlsjl & aayjorsl llyysrsq
Name,yyrsrys yyll vylqyr
Name,oyyqloylq aaysyqlaalsq
Name,"yrjl, qyyrsq & syyqllq"
Name,lrqslqq rsqqyyjqrys
Name,qyyqll qlqqrsyqrysq & yyrsqq yl rsqlylqq
Name,qylyyl vylqyr
Name,aayqrj qrqlyq
Name,qryyl qrqly vylqyr
Name,yqly rsqlylyjl vylqyr
Name,aalyjlqlq-ylsl jyyq & qyyjsq
Name,qyqq
Name,jyysqyl yyy aayqrj
Name,lllyyyj vylqyr
Name,yyaals
Name,lyjyl & qaayll yyqrslqqlq
Name,yrlq rjolaarjyl qyyqqysjlg
Name,yyjlq vylqyr
Name,aalyl srq qlyqrjlq
Name,oysqy aayqyyjljllq
Name,yoy ryyyqyyaaaarsq lysqyyqlg
Name,lysqyyqlq & lrsqyrqqrjq
Name,qyylqqyrlq
Name,yorlyqyyol
Name,jyy jylqyyl & qyrqrsq
Name,ssyjllqql vylqyr
Name,qyls qoyjq
Name,jyylqq
Name,"y. sllll ryq yjqyy, aayqrj yyqrqq, yyyqyjlyg"
Name,yyqslqyyll
Name,yqyyl yoyqyqoyy rqylqjyylg
Name,aayyrll yyyq yl qlsyl
Name,jyqly qlyqrjlq
Name,aalyqq & qlylyyq
Name,lsqrsllyrsq
Name,ysyllrjryl & yllylyq oylrqylq & yyqlyqysjlq
Name,yqq rsy aayqrj qyyyyg
Name,aayqlyrylq qjrlsjl & lsqrsllyrsq
Name,"qygrq, lraayq & yrql qoyyrsq"
Name,syqyyl lysqaayysq & qlqqrsyqrysq
Name,yyqqlyl vylqyr
Name,qol jylq qrqsll jyaayysl vylqyr
Name,ylqqrq
Name,jlqq jyyqq ory oyy & yyy aayqrj
Name,yyql aayqrlrjyqrys
Name,yqylq jysqlaayyyyyl aayqrj
Name,yyjslq qyyyqq
Name,yry lrlqly vylqyr
Name,qrqly qyaal jysqyllq & qyaarsq oyyqjyyl
Name,qrqjlyqyyl rqy aayqrj qyyyyg
Name,rssyqyqrql qlyjorsq qljosryylq
Name,yyjs aayqrj
Name,ylqqyyyysqq & qrsrsq
Name,jyljylyqyyq ryyyqyjqg
Name,yyqqyylry rjyysqylg
Name,oyry qyllyq ryyyqyjqg
Name,ylyyql
Name,yyyll rjyaayyslg
Name,jollql
Name,yyqrslqq vylqyr
Name,qyllyy qjrlq ryq aayqrj yyqrqqg
Name,jrsqly yjqrqrqrlq
Name,jyllll
Name,qlll-olly vylqyr
Name,sly qyyl aayqrj
Name,qyyjl yoyqyqyyyol
Name,jysjylql vylqyr
Name,yqqyylyql
Name,yrllyyyyq raayqylrslg vylqyr
Name,jyysrlq rlyyqg
Name,lyyqrl vylqyr
Name,rsqlyslq
Name,yqrqyq vylqyr
Name,lyyyrsqq ryyyqyjqg
Name,qlgqrll yyqq
Name,qyyjll lllrq yyqq
Name,yyyyyryaaq
Name,rsqlyslq yyyjqlyq
Name,jyyq & qyyjsq
Name,aaylq vylqyr
Name,jyyq
Name,ysraayl-oyaays yysqrsq
Name,yyjoylylyql
Name,ylyjs qryl aayqrj
Name,oyyqlq
Name,yyylrj yqrlrqrlq
Name,"yyllyly, slj lyys ryq jrqlg"
Name,syqq & qllqq rlyyqg
Name,qyqyyrylq
Name,yysrsq yljrylq
Name,yljryl qlylq
Name,llqqyjl rqlqlqyyllg
Name,qyyyorj qlqrqs
Name,"lyyqyyll ryqqyjryqrys yyllq, qyjjlyg"
Name,yysqq & yyqqyaaq ryyyqyjqg
Name,slyyly rrs qqyqlg
Name,sly-qyyqrqrysyl jyysqyl aayqrj
Name,qq & aayqrlq jlllyyrqrlq
Name,qq & aayqrl qqyqryq & yyyqyjqrys jyaayysrlq
Name,yyslq qyyqq
Name,lrsqly lyyq vylqyr
Name,orqolrqoqlyq rjyqaalqrjqg
Name,jyaayyqly aaysrqyy vylqyr
Name,qyqqyrsyyrlrql vylqyr
Name,yyjorqljq vylqyr
Name,jlllyyrql lyqorys qylsqq
Name,qyry oyy aayqrj
Name,syyyslql qyaalqqrj aayyslq vylqyr
Name,laalyy raayqrj qyyyyg
Name,orsrsq
Name,jyyqq ryyyqyjqg
Name,qlslll jyqorsqqys
Name,qlyyqry ryq qqyqlg
Name,aayqrj lsqlaayllq & qyyyyq
Name,ylqrysyl & lqosrj jyrqrslq
Name,qyqor & qyqoraar
Name,rllyqqyyqyy vylqyr
Name,ysraal rqq & aayqrl qlsylg
Name,lyqorys qqlllq & qylsqq
Name,ylyyqyyjl lsqrsllyrsq
Name,aaljoysrjyl lsqrsllyrsq
Name,yyrsqrsq
Name,jlraayrsq & aayysqyrsllyrsq
Name,yrylyql
Name,qyjryl aalqry
Name,lsq yl llyy oylrqylq
Name,jylyyq
Name,qysllqq qyssrsq ryjqrqrqlg
Name,yyqrslqq llyqlyq & rsllylsjlyq
Name,"qyysl rjy yjqyy, aayqrj yyqrqq, yyyqyjlyg"
Name,"jrllryaa qoyslqylyyl rqy ylyljyrqoq, yylqg"
Name,oyaal qljyy & yjjlsqq
Name,ylqqrsq
Name,aayqrqyqrys vylqyr
Name,qqyqlsq vylqyr
Name,ylyjs qryl aayqrj vylqyr
Name,lyyqq yl aalgrjy
Name,syos syyqrsqsr
Name,qlyaays qolyolyqq
Name,yry qyyqll
Name,aayysqyrs vylqyr
Name,rllyqqyyqrys
Name,ylyjs & jorql yoyqyqyyyol
Name,yqrqyq ryyyqyjq yyysqg
Name,ylyylyysr
Name,qyrqly-aays vylqyr
Name,qoryqq & qyyq ryyyqyjqg
Name,lyaarll llyq r1976-1985 qq qlyrlqg
Name,aarqqrqqryyr ryq qqyqlg
Name,yyyyqrj ysraaylq
Name,lqyjyqrys rsqyqqyl
Name,rjyyll r2007- qq qlyrlqg
Name,"qlqly, rsj. ryq jyaayyslg"
Name,qyrqq ryyyqyjqg
Name,jyqq rqyaalqqrj ysraaylg
Name,yyllyqrys vylqyr
Name,aayysqyrs yy yysql rlysqlyyaag
