enddate,value
6/14/19 18:47,83
6/14/19 19:00,138
6/14/19 19:04,62
6/14/19 19:09,62
6/14/19 19:13,113
6/14/19 19:16,70
6/14/19 19:27,130
6/14/19 19:37,159
6/14/19 19:47,66
6/14/19 19:54,96
6/14/19 20:06,145
6/14/19 20:12,174
6/14/19 20:16,106
6/14/19 20:23,48
6/14/19 20:25,127
6/14/19 20:35,150
6/14/19 20:37,89
6/14/19 20:44,82
6/14/19 20:49,75
6/14/19 20:55,72
6/14/19 20:58,107
6/14/19 21:02,170
6/14/19 21:08,72
6/14/19 21:11,109
6/14/19 21:17,92
6/14/19 21:24,70
6/14/19 21:27,64
6/14/19 21:35,163
6/14/19 21:40,41
6/14/19 21:45,153
6/14/19 21:50,37
6/14/19 21:51,41
6/14/19 22:00,115
6/14/19 22:04,88
6/14/19 22:06,115
6/14/19 22:18,83
6/14/19 22:21,182
6/14/19 22:25,84
6/14/19 23:09,75
6/14/19 23:11,164
6/17/19 11:03,51
6/17/19 11:12,159
6/17/19 11:16,187
6/17/19 11:39,162
6/17/19 11:43,102
6/17/19 11:54,115
6/17/19 11:57,99
6/17/19 12:13,103
6/17/19 12:16,45
6/17/19 13:17,187
6/17/19 13:23,42
6/17/19 13:31,144
6/17/19 13:40,156
6/17/19 13:58,139
6/17/19 14:01,166
6/17/19 14:41,185
6/17/19 15:07,174
6/17/19 15:26,146
6/17/19 15:39,122
6/17/19 16:03,134
6/17/19 16:09,177
6/17/19 16:10,54
6/17/19 16:19,127
6/17/19 16:21,94
6/17/19 16:26,144
6/17/19 16:31,55
6/17/19 16:38,81
6/17/19 16:40,117
6/17/19 16:49,77
6/17/19 16:53,126
6/17/19 16:56,61
6/17/19 17:09,135
6/17/19 17:12,43
6/17/19 17:34,70
6/17/19 17:42,104
6/17/19 18:10,96
6/17/19 18:12,183
6/17/19 18:43,68
6/17/19 18:47,132
6/17/19 18:54,167
6/17/19 18:58,143
6/17/19 19:05,130
6/17/19 19:10,67
6/17/19 19:15,167
6/17/19 19:30,153
6/17/19 19:33,126
6/17/19 20:16,113
6/17/19 20:26,159
6/17/19 20:54,94
6/18/19 7:15,73
6/18/19 7:17,180
6/18/19 7:51,167
6/18/19 8:03,43
6/18/19 8:06,142
6/18/19 8:38,166
6/18/19 8:52,112
6/18/19 8:55,37
6/18/19 9:21,94
6/18/19 9:57,150
6/18/19 10:18,184
6/18/19 10:25,82
6/18/19 10:55,155
6/18/19 10:56,40
6/18/19 11:16,188
6/18/19 11:30,151
6/18/19 11:35,103
6/18/19 11:45,75
6/18/19 11:51,64
6/18/19 12:05,146
6/18/19 12:22,62
6/18/19 13:01,91
6/18/19 13:09,123
6/18/19 13:12,153
6/18/19 13:19,151
6/18/19 13:23,153
6/18/19 13:27,181
6/18/19 13:32,125
6/18/19 13:36,150
6/18/19 13:41,43
6/18/19 13:48,188
6/18/19 13:54,168
6/18/19 13:59,105
6/18/19 14:01,49
6/18/19 14:47,105
6/18/19 15:06,168
6/18/19 15:57,77
6/18/19 16:38,150
6/18/19 16:46,113
6/18/19 16:53,97
6/18/19 17:15,85
9/19/18 8:18,160
9/19/18 8:41,119
9/19/18 8:43,62
9/19/18 8:49,110
9/19/18 9:00,122
9/19/18 9:10,178
9/19/18 9:13,181
9/19/18 9:18,46
6/18/19 17:47,33
6/18/19 17:50,136
6/18/19 17:59,139
6/18/19 18:01,34
6/18/19 18:06,123
6/20/19 9:09,108
6/20/19 9:14,129
6/20/19 9:43,60
6/20/19 9:45,35
6/20/19 9:54,63
6/20/19 9:57,104
6/20/19 10:01,70
6/20/19 10:19,49
6/20/19 10:20,130
6/20/19 11:02,170
6/20/19 11:07,66
6/20/19 11:11,61
6/20/19 11:17,163
6/20/19 11:20,69
6/20/19 11:28,89
6/20/19 11:33,92
6/20/19 11:38,133
6/20/19 11:41,174
6/20/19 11:49,44
6/20/19 11:58,184
6/20/19 12:06,66
6/20/19 12:44,76
6/20/19 12:50,144
6/20/19 12:59,109
6/20/19 14:02,53
9/19/18 9:22,52
9/19/18 9:29,112
9/19/18 9:34,163
9/19/18 9:37,53
9/19/18 9:44,48
9/19/18 9:51,73
9/19/18 9:52,184
9/19/18 10:04,76
9/19/18 10:15,79
9/19/18 10:17,97
9/19/18 10:22,156
9/19/18 10:41,152
9/19/18 10:42,58
9/19/18 10:48,177
9/19/18 10:52,165
9/19/18 10:58,50
9/19/18 11:11,75
9/19/18 11:13,181
9/19/18 11:25,141
9/19/18 11:28,182
9/19/18 11:45,37
9/19/18 11:51,35
9/19/18 12:10,67
9/19/18 12:21,149
9/19/18 12:26,62
9/19/18 12:29,58
9/19/18 12:36,144
9/19/18 14:07,85
9/19/18 14:17,45
9/19/18 14:36,91
9/19/18 14:41,157
9/19/18 14:45,39
9/19/18 14:51,97
9/19/18 14:53,160
9/19/18 15:11,54
9/19/18 15:20,128
9/19/18 15:29,80
9/19/18 15:37,158
9/19/18 15:47,94
9/19/18 16:18,158
9/19/18 16:23,97
9/19/18 17:11,148
9/19/18 17:16,48
9/19/18 17:18,125
9/20/18 4:19,83
9/20/18 4:36,75
9/20/18 4:39,163
9/20/18 4:49,81
9/20/18 4:56,164
9/20/18 4:59,112
9/20/18 5:04,95
9/20/18 5:08,119
9/20/18 5:14,34
9/20/18 5:19,53
9/20/18 5:25,87
9/20/18 5:31,43
9/20/18 5:32,181
9/20/18 5:41,145
9/20/18 5:44,92
9/20/18 5:48,177
9/20/18 5:56,108
9/20/18 6:00,128
9/20/18 6:04,180
9/20/18 6:11,166
9/20/18 6:16,87
9/20/18 6:20,61
9/20/18 6:25,145
9/20/18 6:35,177
9/20/18 6:37,147
9/20/18 6:44,124
9/20/18 6:55,103
9/20/18 7:00,115
9/20/18 7:06,79
9/20/18 7:07,160
9/20/18 7:21,136
9/20/18 7:34,88
9/20/18 7:41,76
9/20/18 7:43,182
9/20/18 7:50,112
9/20/18 7:56,176
9/20/18 7:57,174
9/20/18 8:03,176
9/20/18 8:08,43
9/20/18 8:12,133
9/20/18 8:22,77
9/20/18 8:25,72
9/20/18 8:29,99
9/20/18 8:33,162
9/20/18 8:40,59
9/20/18 8:45,51
9/20/18 8:48,121
9/20/18 8:52,79
9/20/18 8:57,71
9/20/18 9:02,57
9/20/18 9:30,149
9/20/18 9:36,73
9/20/18 9:40,167
9/20/18 9:45,106
9/20/18 9:49,73
9/20/18 9:52,79
9/20/18 9:58,156
9/20/18 10:03,147
9/20/18 10:07,125
9/20/18 10:13,74
9/20/18 10:18,165
9/20/18 10:24,187
9/20/18 10:36,181
9/20/18 10:41,106
9/20/18 10:42,127
9/20/18 10:50,76
9/20/18 10:54,164
9/20/18 11:10,144
9/20/18 11:13,121
9/20/18 11:18,169
9/20/18 11:22,141
9/20/18 11:27,48
9/20/18 11:34,142
9/20/18 11:37,68
9/20/18 11:46,113
9/20/18 11:49,48
9/20/18 11:52,189
9/20/18 11:57,36
9/20/18 12:06,112
9/20/18 12:10,35
9/20/18 12:14,78
9/20/18 12:30,161
9/20/18 12:54,143
9/20/18 13:05,154
9/20/18 13:08,98
9/20/18 13:19,91
9/20/18 13:23,83
9/20/18 13:44,156
9/20/18 14:05,94
9/20/18 14:10,131
9/20/18 14:47,56
9/20/18 15:01,84
9/20/18 15:16,138
9/20/18 15:21,146
9/20/18 15:24,44
9/20/18 15:31,141
9/20/18 15:45,87
9/20/18 15:55,84
9/20/18 16:02,51
9/20/18 16:27,113
9/20/18 16:41,50
9/20/18 16:49,143
9/20/18 16:59,50
9/20/18 17:10,190
9/21/18 6:58,142
9/21/18 7:23,99
9/21/18 7:28,156
9/21/18 7:43,108
9/21/18 7:55,146
9/21/18 8:19,45
9/21/18 8:25,148
9/21/18 8:27,61
9/21/18 8:45,84
9/21/18 8:59,87
9/21/18 9:20,63
9/21/18 9:33,40
9/21/18 9:40,102
9/21/18 9:44,43
9/21/18 9:49,170
9/21/18 10:01,70
9/21/18 10:05,118
9/21/18 10:07,98
9/21/18 10:40,184
9/21/18 10:47,55
9/21/18 10:52,133
9/21/18 11:40,50
9/21/18 11:50,118
9/21/18 11:59,77
9/21/18 12:03,98
9/21/18 12:30,190
9/21/18 12:35,160
9/23/18 9:03,102
9/23/18 10:20,79
9/23/18 10:41,153
9/23/18 10:43,185
9/23/18 10:56,89
9/23/18 11:01,132
9/23/18 11:05,122
9/23/18 11:16,133
9/23/18 11:31,133
9/23/18 11:33,99
9/23/18 11:38,187
9/23/18 12:08,48
9/23/18 12:15,138
9/23/18 12:36,143
9/23/18 12:52,180
9/23/18 13:03,185
9/23/18 13:15,129
9/23/18 13:27,167
9/23/18 13:35,189
9/23/18 13:38,175
9/23/18 14:01,72
9/23/18 14:05,91
9/23/18 14:08,187
9/23/18 14:15,50
9/23/18 14:18,43
9/23/18 14:34,151
9/23/18 14:38,131
9/23/18 14:44,156
9/23/18 14:50,130
9/23/18 14:54,97
9/25/18 4:44,144
9/25/18 4:56,146
9/25/18 4:59,176
9/25/18 5:11,112
9/25/18 5:17,160
9/25/18 5:27,137
9/25/18 5:29,69
9/25/18 5:39,99
9/25/18 5:49,52
9/25/18 5:56,97
9/25/18 6:03,71
9/25/18 6:06,98
9/25/18 6:13,129
9/25/18 6:15,115
9/25/18 6:21,113
9/25/18 6:25,52
9/25/18 6:29,101
9/25/18 6:38,70
9/25/18 6:43,122
9/25/18 6:47,36
9/25/18 6:51,72
9/25/18 6:59,37
9/25/18 7:06,37
9/25/18 7:17,95
9/25/18 7:23,115
9/25/18 7:28,141
9/25/18 7:32,130
9/25/18 7:35,118
9/25/18 7:43,56
9/25/18 7:46,166
9/25/18 7:52,143
9/25/18 8:05,42
9/25/18 8:10,89
9/25/18 8:23,84
9/25/18 8:24,134
9/25/18 8:29,122
9/25/18 8:35,34
9/25/18 8:43,165
9/25/18 8:45,75
9/25/18 8:53,90
9/25/18 8:57,147
9/25/18 9:00,180
9/25/18 9:08,106
9/25/18 9:11,115
9/25/18 9:15,123
9/25/18 9:21,100
9/25/18 9:24,67
9/25/18 9:38,60
9/25/18 9:43,81
9/25/18 9:45,44
9/25/18 9:53,59
9/25/18 9:57,190
9/25/18 10:02,156
9/25/18 10:06,62
9/25/18 10:10,62
9/25/18 10:16,132
9/25/18 10:20,177
9/25/18 10:26,134
9/25/18 10:30,114
9/25/18 10:37,99
9/25/18 10:40,101
9/25/18 10:51,43
9/25/18 11:07,108
9/25/18 11:16,94
9/25/18 11:19,113
9/25/18 11:25,147
9/25/18 11:31,149
9/25/18 11:36,132
9/25/18 11:39,44
9/25/18 11:45,187
9/25/18 11:50,117
9/25/18 11:55,111
9/25/18 12:01,82
9/25/18 12:09,40
9/25/18 12:12,164
9/25/18 12:33,110
9/25/18 12:43,153
9/25/18 12:45,35
9/25/18 12:50,95
9/25/18 12:55,182
9/25/18 13:00,53
9/25/18 13:13,73
9/25/18 13:31,55
9/25/18 13:38,162
9/25/18 16:11,88
9/25/18 16:19,126
