enddate,value,HKMetadataKeyBarometricPressure
5/25/21 22:57,0.92,96.5519
5/25/21 23:27,0.98,89.4828
5/25/21 23:57,0.98,95.3814
5/26/21 0:27,0.92,86.9887
5/26/21 0:57,0.94,83.915
5/26/21 1:57,0.96,96.566
5/26/21 2:27,0.92,102.0518
5/26/21 2:57,0.91,82.6731
5/26/21 3:58,0.99,83.0965
5/26/21 5:48,0.95,96.1745
5/27/21 9:31,0.94,83.9767
5/27/21 14:55,0.98,87.7831
5/28/21 7:02,0.97,83.1694
5/28/21 8:36,0.92,92.4274
5/28/21 12:47,0.98,84.0879
5/28/21 14:54,0.91,101.5054
6/3/21 11:30,0.92,101.9316
6/3/21 13:19,0.93,95.6717
6/3/21 14:39,0.97,85.9562
6/3/21 18:35,0.95,95.0564
6/3/21 19:31,0.99,97.6953
6/3/21 20:01,0.97,100.7763
6/3/21 20:35,0.91,101.6268
6/3/21 21:05,0.9,88.1555
6/3/21 21:35,0.95,86.9883
6/3/21 22:05,0.98,97.1701
6/3/21 23:19,0.96,91.182
6/3/21 23:49,0.96,97.7236
6/4/21 0:19,0.9,86.5685
6/4/21 0:49,0.95,83.5358
6/4/21 1:19,0.93,87.8055
6/4/21 2:29,0.99,100.3134
6/4/21 3:04,0.99,98.1184
6/4/21 3:34,0.91,100.1748
6/4/21 7:23,0.97,90.1205
6/4/21 8:43,0.94,84.6878
6/4/21 11:13,0.98,90.7304
6/4/21 14:47,0.94,100.0395
6/4/21 19:15,0.92,82.4756
6/4/21 19:45,0.93,88.6607
6/4/21 21:15,0.9,82.61
6/15/21 11:38,0.93,86.1759
6/15/21 14:19,0.96,93.8122
6/16/21 6:51,0.97,92.7767
6/16/21 8:08,0.98,83.0342
6/16/21 9:08,0.91,100.7016
6/16/21 11:51,0.98,83.208
6/16/21 15:30,0.98,96.5374
6/16/21 17:23,0.95,84.4715
6/18/21 15:30,0.94,89.5923
6/18/21 16:53,0.93,94.7814
6/18/21 18:17,0.9,87.038
6/18/21 19:25,0.91,94.1214
6/19/21 2:32,0.95,90.2492
6/19/21 4:47,0.95,83.7392
6/19/21 5:57,0.96,102.0216
6/20/21 16:54,0.95,98.2071
6/20/21 17:43,0.93,83.0437
6/20/21 23:08,0.98,96.4744
6/21/21 0:30,0.95,86.5017
6/21/21 1:13,0.94,88.9599
6/21/21 1:43,0.95,96.6982
6/21/21 2:17,0.92,93.81
6/21/21 2:47,0.99,82.5246
6/21/21 3:58,0.91,88.824
6/21/21 4:33,0.97,82.6878
6/21/21 5:03,0.96,99.0461
6/21/21 5:49,0.91,83.2805
6/21/21 7:40,0.93,93.8256
6/21/21 8:40,0.97,101.3722
6/21/21 18:07,0.91,83.4892
6/21/21 19:42,0.94,82.4812
6/21/21 21:06,0.9,88.3432
6/21/21 21:36,0.99,101.2764
6/21/21 22:36,0.95,88.3241
6/21/21 23:07,0.91,94.9375
6/21/21 23:53,0.96,91.925
6/22/21 0:30,0.93,95.3448
6/22/21 1:01,0.98,100.0279
6/22/21 1:31,0.96,99.0655
6/22/21 3:02,0.91,88.7732
6/22/21 3:49,0.91,86.6606
6/22/21 4:19,0.97,92.5774
6/24/21 17:53,0.94,101.5442
6/24/21 18:32,0.99,95.2377
6/24/21 19:24,0.96,92.6147
6/24/21 19:54,0.96,96.8888
6/24/21 20:38,0.95,94.0882
6/24/21 21:14,0.92,93.3834
6/24/21 21:44,0.99,94.4638
6/24/21 22:14,0.94,84.4698
6/24/21 23:49,0.9,96.2281
6/25/21 2:04,0.95,95.5505
6/25/21 5:28,0.96,90.0486
6/25/21 7:30,0.93,83.6967
6/26/21 10:15,0.93,87.8031
6/26/21 11:21,0.9,92.5433
6/26/21 12:03,0.93,91.7651
6/26/21 12:33,0.93,101.3406
6/26/21 15:08,0.94,88.2971
7/14/21 20:22,0.93,82.7731
7/15/21 14:30,0.98,85.3025
7/15/21 16:34,0.93,87.3091
7/16/21 15:59,0.94,82.3519
7/16/21 17:00,0.96,93.9611
7/16/21 18:41,0.96,92.5809
7/18/21 16:04,0.97,86.9768
7/30/21 12:51,0.91,92.1245
7/31/21 9:45,0.91,85.1645
8/4/21 9:29,0.95,101.9425
8/4/21 9:29,0.97,98.8432
8/4/21 11:54,0.93,94.6838
8/4/21 12:41,0.97,85.7959
8/4/21 13:47,0.93,88.4635
8/6/21 10:45,0.97,97.9302
8/16/21 21:47,0.94,95.3475
8/27/21 18:24,0.97,88.6902
8/27/21 19:57,0.98,97.8491
8/28/21 15:22,0.95,87.6334
8/28/21 17:20,0.94,101.4575
8/28/21 18:21,0.96,90.2618
8/28/21 18:51,0.99,84.8155
8/28/21 20:50,0.96,82.1146
8/28/21 20:38,0.94,98.5323
8/28/21 21:08,0.9,85.9616
8/28/21 21:39,0.93,96.4347
8/28/21 22:41,0.91,84.6174
8/29/21 0:25,0.92,101.0492
8/29/21 11:33,0.98,87.8726
8/29/21 13:34,0.99,91.3157
8/29/21 14:07,0.96,90.0418
8/29/21 17:32,0.95,94.0835
8/29/21 18:07,0.9,86.4057
8/29/21 19:17,0.93,88.0329
9/3/21 19:14,0.99,94.8774
9/9/21 17:22,0.91,101.2798
9/9/21 17:27,0.96,89.4894
9/18/21 20:28,0.98,100.5218
9/18/21 21:05,0.98,99.164
9/18/21 21:53,0.96,86.9899
9/21/21 7:55,0.91,82.3746
9/21/21 10:38,0.94,99.6392
9/21/21 14:59,0.97,86.6751
9/21/21 16:36,0.97,91.5456
9/21/21 21:41,0.97,99.5579
9/21/21 23:41,0.96,98.2836
9/22/21 0:41,0.92,86.7153
9/22/21 1:13,0.91,88.5845
9/22/21 2:49,0.94,83.3463
9/22/21 3:19,0.91,90.8796
10/5/21 15:08,0.97,85.9991
10/5/21 20:38,0.92,90.3054
10/7/21 11:52,0.91,88.8521
10/7/21 12:24,0.9,85.3956
10/15/21 18:39,0.91,99.3254
10/21/21 14:05,0.94,97.9413
12/4/21 23:02,0.95,97.2131
12/5/21 0:07,0.94,102.1795
12/5/21 1:23,0.95,98.5367
12/10/21 19:34,0.94,82.2254
12/16/21 19:11,0.91,99.259
12/16/21 21:47,0.99,84.2125
12/17/21 9:48,0.99,84.6611
12/18/21 10:21,0.98,97.0169
12/18/21 12:51,0.91,96.1918
12/18/21 13:41,0.91,96.1847
12/18/21 14:41,0.92,94.4326
12/18/21 18:12,0.97,86.5818
12/19/21 12:19,0.92,91.0391
12/19/21 17:45,0.97,88.85
12/20/21 13:40,0.99,95.7106
12/24/21 19:53,0.96,94.4164
12/24/21 20:23,0.91,96.9594
12/24/21 20:53,0.96,101.482
12/24/21 21:37,0.93,99.3846
12/26/21 18:53,0.98,94.0876
12/27/21 10:28,0.99,90.9476
12/27/21 13:50,0.91,93.7002
12/27/21 14:29,0.98,90.6145
12/27/21 16:39,0.98,92.4695
12/27/21 20:49,0.97,82.6047
12/28/21 19:50,0.96,92.8982
12/29/21 5:51,0.92,86.2058
12/29/21 9:47,0.9,82.7772
1/4/22 15:51,0.95,86.9245
1/23/22 17:30,0.93,101.3462
2/1/22 12:37,0.94,81.9985
2/1/22 13:43,0.91,93.5461
